dataset,trial,batch_size,learning_rate,n_layer,n_units
MLP_alsfrs-r_T3_T5,trial_23,64,1.0164650961657607e-05,2,512
MLP_alsfrs-r_T3_T5,trial_5,16,0.0017085557588857856,4,1024
MLP_alsfrs-r_T3_T5,trial_48,32,1.797704217045457e-05,1,1024
MLP_alsfrs-r_T3_T5,trial_2,128,8.940168208330212e-05,2,512
MLP_alsfrs-r_T3_T5,trial_46,128,6.95337503461326e-05,2,512
MLP_alsfrs-r_T3_T5,trial_41,128,6.162652106533207e-05,2,512
MLP_alsfrs-r_T3_T5,trial_22,64,2.7592162185553906e-05,1,512
MLP_alsfrs-r_T3_T5,trial_25,128,0.0001197426020503735,2,512
MLP_alsfrs-r_T3_T5,trial_13,64,8.340187521935596e-05,2,512
MLP_alsfrs-r_T3_T5,trial_14,64,3.062009475772823e-05,2,512
MLP_alsfrs-r_T3_T5,trial_40,32,0.003934461255502313,2,64
MLP_alsfrs-r_T3_T5,trial_47,128,0.00013661739072023306,2,256
MLP_alsfrs-r_T3_T5,trial_3,32,1.3543460578395105e-05,3,128
MLP_alsfrs-r_T3_T5,trial_4,64,0.006090158966789588,3,64
MLP_alsfrs-r_T3_T5,trial_49,128,1.837185424892655e-05,2,512
MLP_alsfrs-r_T3_T5,trial_32,128,0.0001228641515873156,4,1024
MLP_alsfrs-r_T3_T5,trial_35,128,0.00010574730677492509,3,64
MLP_alsfrs-r_T3_T5,trial_34,128,0.00019836797068681697,2,128
MLP_alsfrs-r_T3_T5,trial_33,128,0.00040110453140021826,3,1024
MLP_alsfrs-r_T3_T5,trial_1,16,8.506872555224715e-05,2,32
MLP_alsfrs-r_T3_T5,trial_6,16,0.002197031832501592,3,32
MLP_alsfrs-r_T3_T5,trial_42,128,5.594662725115276e-05,2,1024
MLP_alsfrs-r_T3_T5,trial_45,16,9.43673594123846e-05,1,128
MLP_alsfrs-r_T3_T5,trial_8,128,5.0825034414512075e-05,4,512
MLP_alsfrs-r_T3_T5,trial_11,16,0.00015244193261195317,1,32
MLP_alsfrs-r_T3_T5,trial_29,128,0.0002528429651148165,3,1024
MLP_alsfrs-r_T3_T5,trial_16,64,1.1885528029852052e-05,2,512
MLP_alsfrs-r_T3_T5,trial_20,64,6.755410002477405e-05,5,512
MLP_alsfrs-r_T3_T5,trial_18,64,0.00017174836762511757,1,64
MLP_alsfrs-r_T3_T5,trial_27,128,0.00025071499932098384,3,1024
MLP_alsfrs-r_T3_T5,trial_44,128,4.0922462341716966e-05,2,512
MLP_alsfrs-r_T3_T5,trial_9,32,1.9009459271249094e-05,3,1024
MLP_alsfrs-r_T3_T5,trial_43,128,5.867325100863388e-05,2,32
MLP_alsfrs-r_T3_T5,trial_7,32,4.326654842275292e-05,2,128
MLP_alsfrs-r_T3_T5,trial_0,32,0.00016701030914606608,1,128
MLP_alsfrs-r_T3_T5,trial_19,128,3.0220230966442466e-05,2,512
MLP_alsfrs-r_T3_T5,trial_26,128,0.0001360949715810769,2,1024
MLP_alsfrs-r_T3_T5,trial_21,64,2.5946516295980725e-05,1,512
MLP_alsfrs-r_T3_T5,trial_28,128,0.00012922155766243639,2,1024
MLP_alsfrs-r_T3_T5,trial_17,128,0.0007282547346389152,4,256
MLP_alsfrs-r_T3_T5,trial_10,128,0.0005203166090077148,5,256
MLP_alsfrs-r_T2-T4_T5,trial_36,64,2.8933681406798275e-05,1,256
MLP_alsfrs-r_T2-T4_T5,trial_31,64,0.0002650147488216005,2,256
MLP_alsfrs-r_T2-T4_T5,trial_38,32,2.5648381831673483e-05,1,64
MLP_alsfrs-r_T2-T4_T5,trial_39,32,3.655073430045592e-05,1,64
MLP_alsfrs-r_T2-T4_T5,trial_30,64,1.2740177543271372e-05,3,256
MLP_alsfrs-r_T2-T4_T5,trial_37,32,2.6480821651358467e-05,1,64
MLP_alsfrs-r_T2-T4_T5,trial_15,32,0.002772573848643556,4,1024
MLP_alsfrs-r_T2-T4_T5,trial_12,16,0.0007881298424083569,4,1024
MLP_alsfrs-r_T2-T4_T5,trial_24,64,6.25001561694806e-05,2,256
MLP_alsfrs-r_T2-T4_T5,trial_23,64,6.202809014989215e-05,2,256
MLP_alsfrs-r_T2-T4_T5,trial_5,128,3.7277094468211e-05,1,1024
MLP_alsfrs-r_T2-T4_T5,trial_48,32,1.8922598510319843e-05,1,64
MLP_alsfrs-r_T2-T4_T5,trial_2,64,0.0012371753558971508,1,1024
MLP_alsfrs-r_T2-T4_T5,trial_46,32,1.0207237203772855e-05,1,64
MLP_alsfrs-r_T2-T4_T5,trial_41,32,2.8692073911889463e-05,1,64
MLP_alsfrs-r_T2-T4_T5,trial_22,64,7.854532677229298e-05,2,256
MLP_alsfrs-r_T2-T4_T5,trial_25,64,8.537805683745653e-05,2,256
MLP_alsfrs-r_T2-T4_T5,trial_13,64,0.0009524430157803013,2,512
MLP_alsfrs-r_T2-T4_T5,trial_14,16,0.00011583692082500931,2,512
MLP_alsfrs-r_T2-T4_T5,trial_40,32,3.136552303986367e-05,1,64
MLP_alsfrs-r_T2-T4_T5,trial_47,32,1.6143520564474083e-05,1,64
MLP_alsfrs-r_T2-T4_T5,trial_3,128,0.005853749345810218,3,32
MLP_alsfrs-r_T2-T4_T5,trial_4,64,0.00017499094255950994,2,256
MLP_alsfrs-r_T2-T4_T5,trial_49,32,4.086406800110378e-05,1,64
MLP_alsfrs-r_T2-T4_T5,trial_32,64,0.0005516822912049795,2,256
MLP_alsfrs-r_T2-T4_T5,trial_35,64,0.00017897022810219355,1,32
MLP_alsfrs-r_T2-T4_T5,trial_34,64,4.2320543381913116e-05,1,256
MLP_alsfrs-r_T2-T4_T5,trial_33,64,0.00018044982916020003,1,256
MLP_alsfrs-r_T2-T4_T5,trial_1,128,3.10820319124455e-05,1,256
MLP_alsfrs-r_T2-T4_T5,trial_6,128,0.0002472341343218277,3,64
MLP_alsfrs-r_T2-T4_T5,trial_42,32,3.128947255127496e-05,1,64
MLP_alsfrs-r_T2-T4_T5,trial_45,32,1.579824106869378e-05,1,64
MLP_alsfrs-r_T2-T4_T5,trial_8,32,0.003748274458627538,3,32
MLP_alsfrs-r_T2-T4_T5,trial_11,64,0.0012031281890741426,5,128
MLP_alsfrs-r_T2-T4_T5,trial_29,64,2.1979013585823605e-05,1,256
MLP_alsfrs-r_T2-T4_T5,trial_16,16,0.009975837680672764,4,128
MLP_alsfrs-r_T2-T4_T5,trial_20,32,0.0004140323502580636,3,512
MLP_alsfrs-r_T2-T4_T5,trial_18,64,0.0001146082770308694,4,512
