Run;n_layer;n_units;learning_rate;activation;criterion;decroissant;optimizer;Smoothed;Value;Step
T2-T3-T4_T5/trial_39;1;512;0,0019;tanh;Huber;0;Adam;0,7033;0,7033;585
T2-T3-T4_T5/trial_4;3;256;0,0017;sigmoid;MSE;0;RMSprop;-0,0011;-0,0011;110
T2-T3-T4_T5/trial_40;3;128;0,0005;ReLU;MSE;1;Adagrad;0,8763;0,8763;2 730
T2-T3-T4_T5/trial_41;4;512;0,0006;ReLU;Huber;1;Adam;0,8839;0,8839;340
T2-T3-T4_T5/trial_42;4;512;0,0003;ReLU;Huber;1;Adam;0,8642;0,8642;500
T2-T3-T4_T5/trial_45;5;512;0,001;ReLU;Huber;1;Adam;0,8603;0,8603;770
T2-T3-T4_T5/trial_46;4;256;0;ReLU;Huber;1;Adagrad;-0,2352;-0,2352;4 000
T2-T3-T4_T5/trial_47;3;512;0,0004;tanh;Huber;0;Adagrad;0,7489;0,7489;6 162
T2-T3-T4_T5/trial_48;4;1 024;0,0054;ReLU;Huber;1;Adam;0,799;0,799;1 232
T2-T3-T4_T5/trial_49;5;512;0,0023;ReLU;Huber;1;Adagrad;0,6275;0,6275;200
T2-T3-T4_T5/trial_5;1;256;0,0008;tanh;Huber;0;Adam;0,7394;0,7394;1 925
T2-T3-T4_T5/trial_6;4;128;0,0007;tanh;MAE;0;Adam;-0,0008;-0,0008;450
T2-T3-T4_T5/trial_8;2;512;0,0071;ReLU;MAE;1;Adagrad;0,8342;0,8342;150
T2-T3_T5/trial_0;4;512;0,0096;tanh;MSE;1;Adam;-0,1491;-0,1491;553
T2-T3_T5/trial_1;1;512;0,0035;tanh;Huber;1;Adam;0,5947;0,5947;680
T2-T3_T5/trial_10;1;32;0,0001;sigmoid;Huber;1;Adam;-1,5917;-1,5917;8 000
T2-T3_T5/trial_11;2;1 024;0,0001;ReLU;Huber;0;Adagrad;0,7329;0,7329;1 501
T2-T3_T5/trial_12;2;64;0,0001;ReLU;Huber;0;Adagrad;-2,2948;-2,2948;2 000
T2-T3_T5/trial_13;1;1 024;0,0002;ReLU;Huber;1;Adagrad;0,7537;0,7537;2 960
T2-T3_T5/trial_14;2;1 024;0,0001;ReLU;Huber;1;Adagrad;0,7272;0,7272;1 738
T2-T3_T5/trial_15;1;1 024;0;ReLU;Huber;0;Adagrad;0,6738;0,6738;8 000
T2-T3_T5/trial_16;2;64;0,0002;sigmoid;MAE;1;Adagrad;-10,0361;-10,0361;15 800
T2-T3_T5/trial_17;1;128;0;ReLU;Huber;0;Adagrad;-3,6557;-3,6557;2 000
T2-T3_T5/trial_18;2;256;0,0003;ReLU;Huber;0;Adagrad;0,7473;0,7473;1 280
T2-T3_T5/trial_19;4;32;0;sigmoid;MAE;1;Adagrad;-12,2122;-12,2122;15 800
T2-T3_T5/trial_2;3;1 024;0,0098;ReLU;Huber;0;Adagrad;0,701;0,701;1 185
T2-T3_T5/trial_20;1;1 024;0,0003;ReLU;Huber;1;Adagrad;0,7097;0,7097;1 106
