Run,n_layer,n_units,learning_rate,activation,criterion,decroissant,optimizer,Smoothed,Value,Step,dataset,trial
T2-T3_T4/trial_33,3,512,"0,0003",ReLU,Huber,1,Adagrad,"3,106",3.106,2 106,T2-T3_T4,trial_33
T2-T3_T5/trial_36,3,1 024,0,ReLU,Huber,1,Adam,"4,3707",4.3707,1 185,T2-T3_T5,trial_36
T2-T3_T5/trial_35,4,1 024,"0,0052",ReLU,Huber,1,Adagrad,"4,3989",4.3989,869,T2-T3_T5,trial_35
T2-T3_T5/trial_42,3,1 024,"0,0002",ReLU,Huber,1,Adagrad,"4,4149",4.4149,1 027,T2-T3_T5,trial_42
T2-T3_T5/trial_43,2,1 024,"0,0001",ReLU,Huber,0,Adagrad,"4,5456",4.5456,3 634,T2-T3_T5,trial_43
T2-T3_T5/trial_24,3,1 024,"0,0001",ReLU,Huber,1,Adagrad,"4,5633",4.5633,5 372,T2-T3_T5,trial_24
T2-T4_T5/trial_43,1,64,0,ReLU,Huber,0,RMSprop,"3,4367",3.4367,6 864,T2-T4_T5,trial_43
T2-T4_T5/trial_47,1,64,0,ReLU,MSE,0,RMSprop,"3,4461",3.4461,4 641,T2-T4_T5,trial_47
T2-T4_T5/trial_39,1,64,0,ReLU,Huber,0,RMSprop,"3,4593",3.4593,2 847,T2-T4_T5,trial_39
T2-T4_T5/trial_37,1,64,0,ReLU,Huber,0,RMSprop,"3,466",3.466,4 446,T2-T4_T5,trial_37
T2-T4_T5/trial_40,1,64,0,ReLU,Huber,0,RMSprop,"3,4706",3.4706,3 666,T2-T4_T5,trial_40
T2_T3/trial_35,3,128,"0,0002",ReLU,MAE,0,Adam,"3,2972",3.2972,2 244,T2_T3,trial_35
T2_T3/trial_27,1,1 024,"0,0001",ReLU,MAE,0,Adam,"3,3434",3.3434,1 056,T2_T3,trial_27
T2_T3/trial_25,1,256,"0,0002",ReLU,MAE,0,Adam,"3,3709",3.3709,660,T2_T3,trial_25
T2_T3/trial_31,2,128,"0,0001",ReLU,MAE,0,Adam,"3,3747",3.3747,1 122,T2_T3,trial_31
T2_T3/trial_16,2,128,"0,0001",ReLU,MAE,0,Adam,"3,3982",3.3982,990,T2_T3,trial_16
T2_T4/trial_22,3,512,"0,0001",ReLU,MAE,1,Adam,"4,5407",4.5407,2 725,T2_T4,trial_22
T2_T4/trial_7,3,512,0,ReLU,MAE,1,Adam,"4,5505",4.5505,4 905,T2_T4,trial_7
T2_T4/trial_13,2,512,"0,0002",ReLU,MAE,0,Adam,"4,5578",4.5578,2 180,T2_T4,trial_13
T2_T4/trial_31,2,512,"0,0001",ReLU,MAE,0,Adam,"4,5584",4.5584,1 308,T2_T4,trial_31
T2_T4/trial_3,3,256,"0,0001",ReLU,MAE,0,RMSprop,"4,5672",4.5672,3 270,T2_T4,trial_3
