dataset,trial,mae,rmse,r2
Combined_21M,35,2.79734206199646,3.608039617538452,0.873567521572113
Combined_21M,34,3.694800615310669,4.600809097290039,0.8065158724784851
Combined_21M,33,2.7556679248809814,3.6508853435516357,0.8699108958244324
Combined_21M,20,3.009592056274414,3.9288485050201416,0.8520556688308716
Combined_21M,18,3.468177318572998,4.505812168121338,0.8078031539916992
Combined_21M,27,2.8723084926605225,3.7722036838531494,0.8621785640716553
Combined_21M,9,4.4225077629089355,5.2830376625061035,0.7499520778656006
Combined_21M,11,3.9616589546203613,4.928093910217285,0.7782751321792603
Combined_21M,7,4.678330898284912,5.6017889976501465,0.7202001810073853
Combined_21M,29,2.9769606590270996,3.801603078842163,0.8642987012863159
Combined_21M,16,3.4130399227142334,4.382204532623291,0.820082426071167
Combined_21M,42,2.7191500663757324,3.515228509902954,0.8811965584754944
Combined_21M,45,2.6346850395202637,3.5640909671783447,0.874308168888092
Combined_21M,6,4.895055770874023,5.824456214904785,0.699665904045105
Combined_21M,28,2.971752643585205,4.108124256134033,0.8336495161056519
Combined_21M,17,3.6360912322998047,4.480882167816162,0.8167737126350403
Combined_21M,1,10.546858787536621,13.2949857711792,-0.5643961429595947
Combined_21M,10,4.0491838455200195,5.194787979125977,0.7503411173820496
Combined_21M,19,3.408889055252075,4.268994331359863,0.8323443531990051
Combined_21M,26,4.029898166656494,5.304886817932129,0.7259769439697266
Combined_21M,8,5.1350417137146,6.078538417816162,0.671514630317688
Combined_21M,21,4.583272457122803,5.60673189163208,0.7117012739181519
Combined_21M,44,2.655431032180786,3.591205596923828,0.8721683621406555
Combined_21M,43,2.659243106842041,3.5655996799468994,0.8746988773345947
Combined_21M,38,2.7188844680786133,3.544294834136963,0.8777828812599182
Combined_21M,36,2.7092366218566895,3.573202133178711,0.8748844265937805
Combined_21M,31,2.905519962310791,3.693840503692627,0.8711644411087036
Combined_21M,30,3.4193053245544434,4.261310577392578,0.8329858779907227
Combined_21M,37,2.7024292945861816,3.6426589488983154,0.8686798810958862
Combined_21M,39,2.731433153152466,3.52436900138855,0.8802530169487
Combined_21M,46,2.799595594406128,3.5877246856689453,0.8786087036132812
Combined_21M,41,2.736907482147217,3.5381760597229004,0.8801674246788025
Combined_21M,48,2.658097982406616,3.6783461570739746,0.8653120994567871
Combined_21M,24,2.918337106704712,3.7668750286102295,0.8646390438079834
Combined_21M,23,2.898195743560791,3.7868449687957764,0.8632092475891113
Combined_21M,4,5.428349494934082,6.925554275512695,0.5710060596466064
Combined_21M,15,3.971040964126587,5.344720840454102,0.7275680899620056
Combined_21M,3,5.664895534515381,7.187341690063477,0.5383301973342896
Combined_21M,12,4.340422630310059,5.200766563415527,0.7564252018928528
Combined_21M,49,2.7850770950317383,3.635688543319702,0.8757451772689819
Combined_21M,40,2.802699327468872,3.5691006183624268,0.8791375756263733
Combined_21M,47,2.741220474243164,3.780510663986206,0.8590848445892334
Combined_21M,2,6.178027629852295,7.669809341430664,0.4784862697124481
Combined_21M,13,4.0198869705200195,5.0825676918029785,0.7614763975143433
Combined_21M,5,5.862166404724121,7.3811774253845215,0.4975526034832001
Combined_21M,14,4.449389934539795,5.347989082336426,0.7419518232345581
Combined_21M,22,3.307424306869507,4.150935173034668,0.8411847949028015
Combined_21M,25,2.870303153991699,3.811363935470581,0.8600095510482788
Combined_3M,50,4.398721694946289,5.5025715827941895,0.6290531158447266
Combined_3M,32,9.629424095153809,11.342144966125488,-0.5680018663406372
Combined_3M,35,4.516106128692627,5.624382495880127,0.6125791668891907
Combined_3M,34,5.369164943695068,6.529273986816406,0.47898605465888977
Combined_3M,33,4.749607086181641,5.690084934234619,0.6051472425460815
Combined_3M,20,3.105991840362549,3.8750948905944824,0.8160942196846008
Combined_3M,18,2.849275827407837,3.625667095184326,0.8386309742927551
Combined_3M,27,6.628448486328125,7.857306957244873,0.2473277449607849
Combined_3M,9,2.6179275512695312,3.4281091690063477,0.855133056640625
Combined_3M,11,2.486663579940796,3.3424060344696045,0.8618898391723633
Combined_3M,7,5.119921684265137,6.266544342041016,0.5199471116065979
Combined_3M,29,4.287393093109131,5.16909646987915,0.6740243434906006
Combined_3M,16,6.045793056488037,7.186846733093262,0.3702470064163208
Combined_3M,42,2.4858696460723877,3.33182692527771,0.86286461353302
