dataset,trial,n_layer,n_units,learning_rate,decroissant,activation,optimizer,criterion,mae,rmse,r2
MLP_alsfrs-r_combined_6M,trial_12,2.0,256.0,5e-06,0.0,ReLU,Adam,Huber,2.967613697052002,3.8873212337493896,0.7902833819389343
MLP_alsfrs-r_combined_6M,trial_24,3.0,256.0,5e-06,0.0,ReLU,Adam,Huber,2.883556842803955,3.8416121006011963,0.7906689643859863
MLP_alsfrs-r_combined_6M,trial_23,2.0,512.0,0.0005,1.0,ReLU,Adam,Huber,2.9178647994995117,3.8043811321258545,0.7977294325828552
MLP_alsfrs-r_combined_6M,trial_5,1.0,256.0,0.0005,1.0,ReLU,Adam,Huber,3.0193564891815186,3.907109260559082,0.7889766097068787
MLP_alsfrs-r_combined_6M,trial_2,1.0,256.0,0.0005,0.0,ReLU,Adam,Huber,2.915388584136963,3.858297824859619,0.7928071022033691
MLP_alsfrs-r_combined_6M,trial_22,2.0,512.0,5e-05,1.0,ReLU,Adam,Huber,2.8088836669921875,3.7150661945343018,0.807090163230896
MLP_alsfrs-r_combined_6M,trial_25,3.0,256.0,5e-05,0.0,ReLU,Adam,Huber,2.862837553024292,3.824124813079834,0.792538583278656
MLP_alsfrs-r_combined_6M,trial_13,2.0,256.0,5e-05,0.0,ReLU,Adam,Huber,2.8271472454071045,3.7607595920562744,0.7998939752578735
MLP_alsfrs-r_combined_6M,trial_14,2.0,256.0,0.0005,0.0,ReLU,Adam,Huber,2.966562032699585,3.9584004878997803,0.782040536403656
MLP_alsfrs-r_combined_6M,trial_3,1.0,256.0,5e-06,1.0,ReLU,Adam,Huber,4.462881088256836,5.8638458251953125,0.514167845249176
MLP_alsfrs-r_combined_6M,trial_4,1.0,256.0,5e-05,1.0,ReLU,Adam,Huber,2.848369598388672,3.7775347232818604,0.8025445342063904
MLP_alsfrs-r_combined_6M,trial_32,3.0,512.0,0.0005,0.0,ReLU,Adam,Huber,3.030512571334839,3.8852736949920654,0.7907423377037048
MLP_alsfrs-r_combined_6M,trial_35,3.0,512.0,0.0005,1.0,ReLU,Adam,Huber,3.0125505924224854,3.9631505012512207,0.7834673523902893
MLP_alsfrs-r_combined_6M,trial_34,3.0,512.0,5e-05,1.0,ReLU,Adam,Huber,2.8046441078186035,3.7757577896118164,0.7970133423805237
MLP_alsfrs-r_combined_6M,trial_33,3.0,512.0,5e-06,1.0,ReLU,Adam,Huber,2.8801512718200684,3.8632562160491943,0.7887346744537354
MLP_alsfrs-r_combined_6M,trial_1,1.0,256.0,5e-05,0.0,ReLU,Adam,Huber,2.8256540298461914,3.739102840423584,0.8043028712272644
MLP_alsfrs-r_combined_6M,trial_6,1.0,512.0,5e-06,0.0,ReLU,Adam,Huber,3.753270387649536,4.9218525886535645,0.662655770778656
MLP_alsfrs-r_combined_6M,trial_8,1.0,512.0,0.0005,0.0,ReLU,Adam,Huber,2.876384973526001,3.7522308826446533,0.8047997355461121
MLP_alsfrs-r_combined_6M,trial_11,1.0,512.0,0.0005,1.0,ReLU,Adam,Huber,2.9033381938934326,3.807128667831421,0.7965952754020691
MLP_alsfrs-r_combined_6M,trial_29,3.0,256.0,0.0005,1.0,ReLU,Adam,Huber,3.071606159210205,3.9774563312530518,0.7826002836227417
MLP_alsfrs-r_combined_6M,trial_16,2.0,256.0,5e-05,1.0,ReLU,Adam,Huber,2.836444854736328,3.734757900238037,0.807309091091156
MLP_alsfrs-r_combined_6M,trial_20,2.0,512.0,0.0005,0.0,ReLU,Adam,Huber,3.113457679748535,4.13543701171875,0.7632420659065247
MLP_alsfrs-r_combined_6M,trial_18,2.0,512.0,5e-06,0.0,ReLU,Adam,Huber,2.8838603496551514,3.8406271934509277,0.7900609970092773
MLP_alsfrs-r_combined_6M,trial_27,3.0,256.0,5e-06,1.0,ReLU,Adam,Huber,2.9782280921936035,3.9020206928253174,0.7897605299949646
