dataset,trial,n_layer,n_units,learning_rate,decroissant,batch_size,activation,optimizer,mae,rmse,r2
T2-T3-T4_T5,trial_28,3.0,512.0,0.00011024347908812435,1.0,16,ReLU,Adam,2.9264705181121826,3.6812078952789307,0.8198500871658325
T2-T3-T4_T5,trial_17,3.0,128.0,0.00014240476284156146,0.0,16,ReLU,Adam,2.997058868408203,3.7522847652435303,0.818590521812439
T2-T3-T4_T5,trial_10,3.0,128.0,0.0002148077939045164,0.0,32,ReLU,Adam,3.0058822631835938,3.871943950653076,0.828185498714447
T1-T2_T3,trial_98,3.0,128.0,0.000794657384777478,0.0,32,ReLU,Adam,2.904109477996826,3.980231285095215,0.7576972842216492
T1-T2_T3,trial_91,3.0,256.0,0.0008231721571532955,0.0,64,ReLU,Adam,2.9777398109436035,4.069353103637695,0.7535781264305115
T1-T2_T3,trial_62,3.0,256.0,0.0009334011609735319,0.0,64,ReLU,Adam,3.0839040279388428,4.064746379852295,0.7582123279571533
T1-T2_T3,trial_63,3.0,256.0,0.0008158140963965138,0.0,64,ReLU,Adam,2.898972511291504,3.988917827606201,0.7629790902137756
T1-T2_T3,trial_64,3.0,512.0,0.0007177191106405174,0.0,64,ReLU,Adam,2.964040994644165,4.054682731628418,0.754362940788269
T1-T2_T3,trial_2,2.0,128.0,2.2242743747696e-05,1.0,128,ReLU,Adam,3.08561635017395,4.256789207458496,0.74130779504776
T1-T2_T3,trial_41,3.0,256.0,0.0003408391333217526,0.0,32,ReLU,Adam,2.9126713275909424,3.9398303031921387,0.7561419010162354
T1-T2_T3,trial_71,3.0,256.0,0.0008480048613421806,0.0,64,ReLU,Adam,2.8082191944122314,3.8058559894561768,0.7826345562934875
T1-T2_T3,trial_85,3.0,256.0,0.0007419798033273453,0.0,32,ReLU,Adam,3.003424644470215,4.067483901977539,0.7412703633308411
T1-T2_T3,trial_3,2.0,128.0,1.298594170853176e-05,0.0,128,ReLU,Adam,3.410959005355835,4.607530117034912,0.6952659487724304
T1-T2_T3,trial_4,1.0,256.0,0.00024208946807386907,0.0,128,ReLU,Adam,3.2551369667053223,4.413898468017578,0.7194199562072754
T1-T2_T3,trial_93,3.0,256.0,0.0009306881599177274,0.0,64,ReLU,Adam,2.8818492889404297,3.9034829139709473,0.7694852352142334
T1-T2_T3,trial_1,2.0,256.0,0.0002795485926872441,0.0,64,ReLU,Adam,2.9948630332946777,4.0683488845825195,0.7584308385848999
T1-T2_T3,trial_6,2.0,128.0,0.0005131130632143931,0.0,16,ReLU,Adam,2.9571917057037354,3.914095878601074,0.7331432104110718
T1-T2_T3,trial_42,3.0,256.0,0.0004239230928546582,0.0,32,ReLU,Adam,3.0051369667053223,4.026550769805908,0.743099570274353
T1-T2_T3,trial_29,3.0,512.0,0.0005253906870494019,0.0,32,ReLU,Adam,3.1181507110595703,4.226362705230713,0.722910463809967
T1-T2_T3,trial_27,3.0,128.0,0.000325389557296109,0.0,32,ReLU,Adam,2.871575355529785,3.907654285430908,0.76242595911026
T1-T2_T3,trial_0,1.0,512.0,0.0005077470758279122,0.0,32,ReLU,Adam,3.3167808055877686,4.413034915924072,0.6943965554237366
T1-T2_T3,trial_28,3.0,256.0,0.0003467881654373072,0.0,32,ReLU,Adam,2.9092466831207275,3.98688006401062,0.7541897892951965
T1-T2_T3,trial_10,3.0,256.0,0.0007971532422520229,0.0,64,ReLU,Adam,3.0188355445861816,4.148890972137451,0.7457265853881836
T3-T4_T5,trial_91,2.0,512.0,0.00017446252016106067,0.0,32,ReLU,Adam,3.0872092247009277,4.2530317306518555,0.7882082462310791
T3-T4_T5,trial_97,2.0,512.0,0.000218238989976854,0.0,32,ReLU,Adam,3.154069662094116,4.249305725097656,0.7907972931861877
T3-T4_T5,trial_24,2.0,512.0,0.00027464643866536214,0.0,32,ReLU,Adam,3.34883713722229,4.581388473510742,0.7658143043518066
T3-T4_T5,trial_23,2.0,512.0,0.0001297879541649529,0.0,32,ReLU,Adam,3.1395349502563477,4.2298078536987305,0.7919142842292786
T3-T4_T5,trial_77,3.0,256.0,0.000320558610327207,0.0,32,ReLU,Adam,3.072674512863159,4.158854961395264,0.8031356930732727
T3-T4_T5,trial_2,1.0,128.0,4.9955360891940015e-05,1.0,16,ReLU,Adam,3.6279070377349854,4.656544208526611,0.6772944331169128
T3-T4_T5,trial_41,2.0,512.0,0.000134171902458426,0.0,32,ReLU,Adam,3.25,4.350082874298096,0.780917227268219
T3-T4_T5,trial_13,2.0,512.0,8.118171734049708e-05,0.0,32,ReLU,Adam,3.284883737564087,4.3668060302734375,0.7841293215751648
T3-T4_T5,trial_71,2.0,512.0,0.00014982368072217382,0.0,32,ReLU,Adam,3.116279125213623,4.201448917388916,0.7952491641044617
