Run;n_layer;n_units;learning_rate;activation;criterion;decroissant;optimizer;Smoothed;Value;Step
T2-T3_T4/trial_3;3;32;0,0067;ReLU;MAE;0;Adagrad;2,295;2,295;1 134
T2-T3_T4/trial_30;3;512;0,0001;sigmoid;Huber;1;Adagrad;25,6144;25,6144;21 400
T2-T3_T4/trial_31;4;512;0;ReLU;Huber;1;Adagrad;3,007;3,007;21 400
T2-T3_T4/trial_32;3;512;0,0003;ReLU;Huber;1;Adagrad;2,1792;2,1792;11 877
T2-T3_T4/trial_33;3;512;0,0003;ReLU;Huber;1;Adagrad;2,2203;2,2203;2 106
T2-T3_T4/trial_34;2;512;0,0003;ReLU;Huber;1;Adagrad;2,1948;2,1948;3 159
T2-T3_T4/trial_35;2;512;0,0002;sigmoid;Huber;1;Adam;2,8691;2,8691;2 808
T2-T3_T4/trial_36;2;512;0,0003;ReLU;MAE;0;Adagrad;2,1924;2,1924;2 997
T2-T3_T4/trial_37;3;512;0,0001;ReLU;Huber;1;Adam;2,238;2,238;702
T2-T3_T4/trial_38;2;1 024;0,0001;ReLU;MSE;0;Adam;2,3116;2,3116;675
T2-T3_T4/trial_39;3;64;0,0004;ReLU;Huber;1;Adam;2,224;2,224;1 485
T2-T3_T4/trial_4;5;1 024;0,0002;ReLU;MSE;1;Adam;2,3034;2,3034;1 134
T2-T3_T4/trial_40;1;64;0,0005;sigmoid;MSE;1;Adam;3,0903;3,0903;4 698
T2-T3_T4/trial_41;3;64;0,0002;ReLU;Huber;1;Adam;2,2954;2,2954;1 458
T2-T3_T4/trial_42;3;64;0,0003;ReLU;Huber;1;Adam;2,2105;2,2105;1 323
T2-T3_T4/trial_43;3;64;0,0003;ReLU;Huber;1;Adam;2,283;2,283;756
T2-T3_T4/trial_44;2;64;0,0006;ReLU;MAE;0;Adam;2,2887;2,2887;1 134
T2-T3_T4/trial_45;3;128;0,0002;ReLU;Huber;1;Adam;2,2338;2,2338;1 242
T2-T3_T4/trial_46;2;128;0,0002;tanh;Huber;1;Adam;3,448;3,448;3 726
T2-T3_T4/trial_47;3;128;0,0004;ReLU;Huber;0;Adam;2,3261;2,3261;783
T2-T3_T4/trial_48;3;128;0;ReLU;MAE;1;Adam;2,1944;2,1944;2 889
T2-T3_T4/trial_49;2;1 024;0,0001;sigmoid;MSE;1;Adam;3,0342;3,0342;2 800
T2-T3_T4/trial_5;2;1 024;0,0025;ReLU;MSE;0;Adam;2,4494;2,4494;1 391
T2-T3_T4/trial_6;4;512;0,0034;ReLU;MSE;1;Adam;2,3693;2,3693;1 080
T2-T3_T4/trial_7;4;128;0,0002;ReLU;MSE;1;Adagrad;2,4951;2,4951;21 400
T2-T3_T4/trial_8;3;256;0,0024;tanh;Huber;0;Adagrad;3,4584;3,4584;1 232
T2-T3_T4/trial_9;5;128;0,0081;sigmoid;MAE;0;Adagrad;7,5694;7,5694;1 728
T1_T5/trial_0;2;32;0;sigmoid;MSE;0;Adagrad;26,9711;26,9711;2 200
T1_T5/trial_1;1;256;0,0001;tanh;MAE;1;Adagrad;19,7572;19,7572;4 200
T1_T5/trial_10;1;512;0;sigmoid;Huber;1;RMSprop;6,4855;6,4855;11 152
T1_T5/trial_11;1;512;0;sigmoid;Huber;1;RMSprop;6,4504;6,4504;10 660
T1_T5/trial_12;2;512;0;sigmoid;Huber;1;RMSprop;6,586;6,586;16 400
T1_T5/trial_13;1;64;0,0003;sigmoid;Huber;1;RMSprop;6,7767;6,7767;4 264
T1_T5/trial_14;2;512;0,001;sigmoid;Huber;0;RMSprop;6,6102;6,6102;209
T1_T5/trial_15;1;128;0,0001;sigmoid;Huber;1;RMSprop;6,2023;6,2023;9 102
