dataset,mae_mean,mae_min,mae_max,mae_ci_low,mae_ci_high,rmse_mean,rmse_min,rmse_max,rmse_ci_low,rmse_ci_high,r2_mean,r2_min,r2_max,r2_ci_low,r2_ci_high
ALSFRS_R_FIXED_3_15M,4.116478590965271,3.871537208557129,4.298812389373779,4.090691242879507,4.142265939051035,5.08586799621582,4.78775691986084,5.29783296585083,5.056464064574041,5.1152719278575995,0.6082117593288422,0.572619616985321,0.6503667831420898,0.604188785470853,0.6122347331868314
ALSFRS_R_FIXED_3_18M,4.214534969329834,4.176807880401611,4.448091983795166,4.197591957335638,4.231477981324029,5.501696834564209,5.461843967437744,5.796230792999268,5.482288064595034,5.521105604533384,0.6539195907115937,0.6159337759017944,0.6589693427085876,0.6514329329624994,0.656406248460688
ALSFRS_R_FIXED_3_6M,3.1903609085083007,2.913140773773194,3.4342291355133057,3.14968483941384,3.2310369776027614,4.160898509025574,3.8639094829559326,4.429270267486572,4.116976080656751,4.204820937394397,0.6916795563697815,0.6472902894020081,0.7394540905952454,0.6843105541435409,0.6990485585960221
ALSFRS_R_FIXED_3_9M,3.131504020690918,2.893345832824707,3.284950256347656,3.106812563453394,3.156195477928442,4.008923106193542,3.783126592636109,4.170391082763672,3.983843943428584,4.034002268958501,0.7672535526752472,0.7508344650268555,0.7921006679534912,0.764619224834035,0.7698878805164594
ALSFRS_R_FIXED_6_12M,3.5399391889572143,3.383817434310913,3.6198670864105225,3.528379371723146,3.5514990061912823,4.570419092178344,4.357925891876221,4.67451286315918,4.555082601483584,4.585755582873104,0.765091462135315,0.7542890310287476,0.7862493991851807,0.7635184089244714,0.7666645153461585
ALSFRS_R_FIXED_6_15M,4.025772943496704,3.7854082584381104,4.117978572845459,4.00885988843211,4.042685998561297,5.029523153305053,4.777015209197998,5.128933429718018,5.013886994495659,5.045159312114447,0.6622541403770447,0.6421130299568176,0.7061671614646912,0.659462138673557,0.6650461420805324
ALSFRS_R_FIXED_6_18M,5.788259449005127,5.264987468719482,6.01340913772583,5.747571892337597,5.828947005672657,7.858390989303589,7.089338779449463,8.115569114685059,7.796009475178098,7.92077250342908,0.00525586241856219,-0.0621454305946826,0.2121588587760925,-0.012090650176135875,0.02260237501326025
ALSFRS_R_FIXED_6_9M,2.998368492126465,2.885796546936035,3.126431941986084,2.9773738786103037,3.0193631056426264,4.068311653137207,3.959826231002808,4.20334529876709,4.047427690963993,4.089195615310421,0.8019585764408111,0.7886354923248291,0.8124076724052429,0.7999134965253017,0.8040036563563205
ALSFRS_R_FIXED_9_12M,3.2438227558135986,3.16591215133667,3.364210844039917,3.2274447066612115,3.2602008049659856,4.587632436752319,4.4405903816223145,4.744588851928711,4.562803514563046,4.612461358941592,0.72327157497406,0.7057390809059143,0.7442283034324646,0.7203369812637775,0.7262061686843425
ALSFRS_R_FIXED_9_15M,3.9851349925994874,3.829674482345581,4.220907211303711,3.9648174731148207,4.005452512084154,4.862686538696289,4.7109198570251465,5.088748455047607,4.842832238642089,4.88254083875049,0.7165804374217987,0.6764289736747742,0.7313660383224487,0.7139220726595087,0.7192388021840886
ALSFRS_R_FIXED_9_18M,4.891261491775513,4.718619346618652,5.177741527557373,4.870667322251437,4.9118556612995885,6.239310102462769,6.084387302398682,6.394704818725586,6.218294850732815,6.260325354192722,0.4652945983409882,0.4412859380245209,0.4944168627262115,0.4614752224307125,0.4691139742512639
