dataset,trial,n_layer,n_units,learning_rate,decroissant,batch_size,activation,optimizer,mae,rmse,r2
combined_9M,trial_4,2.0,256.0,0.00013058332872559336,1.0,32,ReLU,Adam,2.826993942260742,3.7345924377441406,0.8362864851951599
combined_9M,trial_32,2.0,256.0,0.0001905853136506656,0.0,64,ReLU,Adam,2.839263916015625,3.7197253704071045,0.8458616137504578
combined_9M,trial_68,2.0,256.0,0.00014966357561684742,1.0,16,ReLU,Adam,2.8711657524108887,3.7706313133239746,0.8181905746459961
combined_9M,trial_95,2.0,64.0,0.0004168140742839579,1.0,16,ReLU,Adam,2.8098158836364746,3.6871821880340576,0.8272512555122375
combined_9M,trial_66,2.0,256.0,0.00028504591965419117,0.0,64,ReLU,Adam,2.750920295715332,3.6371443271636963,0.8511386513710022
combined_9M,trial_34,2.0,256.0,0.0007175019806562608,0.0,64,ReLU,Adam,2.9141104221343994,3.8964929580688477,0.8283511400222778
combined_9M,trial_56,2.0,512.0,0.00031345391626824736,0.0,16,ReLU,Adam,2.9717791080474854,3.869086503982544,0.8063280582427979
combined_9M,trial_51,2.0,256.0,0.00014271746464671417,0.0,64,ReLU,Adam,2.927607297897339,3.877243757247925,0.8320256471633911
combined_9M,trial_87,3.0,256.0,0.00019528699615765607,0.0,16,ReLU,Adam,2.705521583557129,3.454516649246216,0.845478355884552
combined_9M,trial_1,3.0,256.0,1.640453712006832e-05,0.0,128,tanh,Adam,2.9779140949249268,3.9889259338378906,0.8268440365791321
combined_9M,trial_89,3.0,512.0,0.0002323829409026922,0.0,16,ReLU,Adam,2.823312997817993,3.7332825660705566,0.8230555057525635
combined_9M,trial_8,1.0,128.0,0.0002866925504863905,1.0,128,sigmoid,Adam,3.0601227283477783,3.9994208812713623,0.8268302083015442
combined_9M,trial_7,1.0,64.0,0.00014942907141189413,1.0,32,sigmoid,Adam,2.987730026245117,3.9110827445983887,0.8226740956306458
combined_9M,trial_86,3.0,64.0,0.00018922437323672532,0.0,16,ReLU,Adam,2.7496931552886963,3.5723862648010254,0.8371917009353638
combined_9M,trial_0,3.0,128.0,0.0004841462487837612,1.0,128,ReLU,Adam,2.7680981159210205,3.6708221435546875,0.8540849089622498
combined_9M,trial_21,2.0,256.0,8.063890779041467e-05,1.0,32,ReLU,Adam,2.808588981628418,3.6594414710998535,0.842682421207428
combined_3M,trial_63,2.0,64.0,0.0004127040318282452,1.0,16,ReLU,Adam,2.6483871936798096,3.5607709884643555,0.7935106754302979
combined_3M,trial_64,2.0,64.0,0.0004564891062652729,1.0,16,ReLU,Adam,2.6737327575683594,3.6149933338165283,0.7855132222175598
combined_3M,trial_52,2.0,128.0,0.00016451555204599744,1.0,16,ReLU,Adam,2.614285707473755,3.5252389907836914,0.7961559295654297
combined_3M,trial_15,2.0,128.0,0.00011263122186288909,1.0,16,ReLU,Adam,2.60829496383667,3.4935600757598877,0.8002345561981201
combined_3M,trial_12,2.0,128.0,0.0001032278817887459,1.0,16,ReLU,Adam,2.6336405277252197,3.54353928565979,0.797556459903717
combined_3M,trial_23,2.0,128.0,0.00018401043216056452,1.0,16,ReLU,Adam,2.6013824939727783,3.499809503555298,0.8012333512306213
combined_3M,trial_77,3.0,256.0,0.000249235563284566,0.0,16,ReLU,Adam,2.6516129970550537,3.5811736583709717,0.7900988459587097
combined_3M,trial_83,3.0,64.0,0.0003242213813952645,0.0,16,ReLU,Adam,2.588940143585205,3.481398105621338,0.8020888566970825
combined_3M,trial_70,3.0,64.0,0.00037894654105526034,0.0,16,ReLU,Adam,2.5682027339935303,3.469101667404175,0.8027666211128235
combined_3M,trial_2,3.0,64.0,7.332975846362523e-05,1.0,16,ReLU,Adam,2.501843214035034,3.3833279609680176,0.8125548958778381
combined_3M,trial_79,3.0,64.0,0.0006190654048381104,0.0,16,ReLU,Adam,2.626728057861328,3.5345265865325928,0.7965928912162781
combined_3M,trial_14,2.0,512.0,0.00011409776826911185,1.0,16,ReLU,Adam,2.671428680419922,3.612483501434326,0.788783848285675
combined_3M,trial_47,2.0,128.0,0.0005155604733001895,0.0,16,tanh,Adam,2.6695852279663086,3.607895612716675,0.7878814935684204
combined_3M,trial_71,3.0,64.0,0.000357762333713444,0.0,16,ReLU,Adam,2.611520767211914,3.534515142440796,0.7963327169418335
combined_3M,trial_85,3.0,64.0,0.0005738526947356537,0.0,16,ReLU,Adam,2.618894100189209,3.5359556674957275,0.7941129803657532
combined_3M,trial_3,3.0,64.0,0.00032248814967010894,1.0,64,sigmoid,Adam,2.6304147243499756,3.6490423679351807,0.8220557570457458
combined_3M,trial_82,3.0,64.0,0.00024853565512308044,0.0,16,ReLU,Adam,2.592165946960449,3.498849391937256,0.798696756362915
combined_3M,trial_4,1.0,256.0,1.9630413592142214e-05,1.0,64,sigmoid,Adam,2.612903118133545,3.6174662113189697,0.8241926431655884
combined_3M,trial_95,3.0,256.0,0.00027898820915874683,0.0,16,ReLU,Adam,2.6571428775787354,3.581287384033203,0.7935740947723389
combined_3M,trial_66,2.0,64.0,0.0006582932065720766,1.0,16,ReLU,Adam,2.682027578353882,3.5806283950805664,0.7931650876998901
combined_3M,trial_92,3.0,64.0,0.00028557677989024527,0.0,16,ReLU,Adam,2.558986186981201,3.463287353515625,0.800834059715271
combined_3M,trial_60,2.0,64.0,0.00029715464465416246,1.0,16,ReLU,Adam,2.6682028770446777,3.5682590007781982,0.7935964465141296
combined_3M,trial_94,3.0,64.0,0.00033832820625730566,0.0,16,ReLU,Adam,2.6695852279663086,3.6003258228302,0.7853153347969055
combined_3M,trial_69,2.0,64.0,0.0003706619983610247,1.0,16,ReLU,Adam,2.6364054679870605,3.5250072479248047,0.7944353818893433
combined_3M,trial_51,2.0,128.0,0.00021599871602558985,1.0,16,ReLU,Adam,2.636866331100464,3.5462467670440674,0.7962817549705505
combined_3M,trial_87,3.0,64.0,0.00033815030703802213,0.0,16,ReLU,Adam,2.643317937850952,3.602308511734009,0.7877455353736877
combined_3M,trial_73,3.0,64.0,0.00028658637700501355,0.0,16,ReLU,Adam,2.552995443344116,3.4585187435150146,0.8025750517845154
combined_3M,trial_1,1.0,512.0,0.00029097386544532286,1.0,128,tanh,Adam,2.670046091079712,3.6797783374786377,0.8216027021408081
combined_3M,trial_74,3.0,64.0,0.00047590426213028723,0.0,16,ReLU,Adam,2.5608294010162354,3.4551877975463867,0.805709719657898
combined_3M,trial_42,2.0,128.0,0.00020594982014916045,1.0,16,ReLU,Adam,2.570967674255371,3.4929556846618652,0.8026968240737915
combined_3M,trial_8,2.0,256.0,0.00022486263394350274,0.0,32,ReLU,Adam,2.6511521339416504,3.6538426876068115,0.8107226490974426
combined_3M,trial_11,3.0,128.0,0.0009975628383308863,0.0,64,tanh,Adam,2.6967742443084717,3.7402591705322266,0.8129051327705383
combined_3M,trial_88,3.0,64.0,0.00038144433535105263,0.0,16,ReLU,Adam,2.638248920440674,3.5503079891204834,0.7972875237464905
combined_3M,trial_81,3.0,64.0,0.00028549950643602407,0.0,16,ReLU,Adam,2.5474653244018555,3.447748899459839,0.8028125762939453
combined_3M,trial_7,1.0,256.0,0.0004128509017588411,0.0,16,tanh,Adam,2.717050790786743,3.6973397731781006,0.7780671119689941
combined_3M,trial_72,3.0,64.0,0.0002989160453179423,0.0,16,ReLU,Adam,2.588940143585205,3.5011606216430664,0.7980471849441528
combined_3M,trial_86,3.0,64.0,0.00048411356090829897,0.0,16,ReLU,Adam,2.6976959705352783,3.6782236099243164,0.7806979417800903
combined_3M,trial_0,2.0,128.0,0.00028739704556035947,0.0,64,tanh,Adam,2.5626728534698486,3.587430477142334,0.826818585395813
combined_3M,trial_26,2.0,128.0,0.000537667342408828,1.0,16,ReLU,Adam,2.769585371017456,3.777808666229248,0.768031656742096
combined_3M,trial_21,2.0,128.0,0.0001504657470331769,1.0,16,ReLU,Adam,2.6336405277252197,3.5492897033691406,0.795399010181427
combined_6M,trial_12,3.0,128.0,0.00019483543085850456,0.0,32,ReLU,Adam,2.694939374923706,3.694669723510742,0.8310431838035583
combined_6M,trial_5,2.0,512.0,2.438765031720377e-05,1.0,16,tanh,Adam,2.8852458000183105,3.8277599811553955,0.8029283881187439
combined_6M,trial_84,3.0,128.0,0.00019469685641932937,0.0,16,ReLU,Adam,2.7605130672454834,3.68818736076355,0.8159845471382141
combined_6M,trial_2,1.0,64.0,0.0005540419891890906,1.0,64,tanh,Adam,3.1482536792755127,4.363192081451416,0.7785869836807251
combined_6M,trial_25,3.0,512.0,0.00024176832824821215,0.0,32,ReLU,Adam,2.8139700889587402,3.8093879222869873,0.8202114105224609
combined_6M,trial_13,3.0,128.0,0.00018758593055221898,0.0,32,ReLU,Adam,2.7377049922943115,3.738492250442505,0.8270387053489685
combined_6M,trial_14,3.0,128.0,0.0001477665066419107,0.0,32,ReLU,Adam,2.7320027351379395,3.7324671745300293,0.8271821141242981
combined_6M,trial_71,3.0,128.0,0.0004580361995507063,0.0,32,ReLU,Adam,2.8225231170654297,3.8782923221588135,0.8148687481880188
combined_6M,trial_85,3.0,128.0,0.00018675544295510517,0.0,16,ReLU,Adam,2.6065573692321777,3.560502052307129,0.8272398710250854
combined_6M,trial_3,3.0,32.0,0.00048319661483187554,0.0,32,ReLU,Adam,2.8225231170654297,3.8471875190734863,0.8184725046157837
combined_6M,trial_82,3.0,128.0,0.0001918464055979551,0.0,16,ReLU,Adam,2.687811851501465,3.5932986736297607,0.8238898515701294
combined_6M,trial_76,3.0,128.0,0.00046120650751309446,0.0,32,ReLU,Adam,2.802565813064575,3.843384265899658,0.8187708258628845
combined_6M,trial_4,2.0,64.0,1.2459738805062976e-05,0.0,16,sigmoid,Adam,3.404846668243408,4.563740253448486,0.7398931384086609
combined_6M,trial_32,3.0,128.0,0.00020454816013462556,0.0,32,ReLU,Adam,2.693513870239258,3.67256236076355,0.8330917954444885
combined_6M,trial_50,3.0,256.0,0.000193211674092924,0.0,32,ReLU,Adam,2.7491090297698975,3.768347978591919,0.8244516849517822
combined_6M,trial_95,3.0,128.0,0.0002581512107284771,0.0,16,ReLU,Adam,2.6956522464752197,3.630185604095459,0.8190228939056396
combined_6M,trial_92,3.0,128.0,0.00022603285643244775,0.0,16,ReLU,Adam,2.738417625427246,3.7026820182800293,0.8134364485740662
combined_6M,trial_87,3.0,128.0,0.00020344267373990964,0.0,16,ReLU,Adam,2.719886064529419,3.668456792831421,0.8149120807647705
combined_6M,trial_1,1.0,64.0,9.162521255744478e-05,0.0,16,tanh,Adam,3.1617960929870605,4.184804916381836,0.7689855694770813
combined_6M,trial_11,3.0,128.0,0.00020321228631421342,0.0,32,ReLU,Adam,2.6543121337890625,3.6247682571411133,0.8363012075424194
combined_6M,trial_16,3.0,128.0,0.0008931182862700875,0.0,32,ReLU,Adam,2.8360655307769775,3.8817660808563232,0.8142182230949402
combined_6M,trial_44,3.0,128.0,0.00016430010490047433,0.0,16,ReLU,Adam,2.670705556869507,3.586500883102417,0.8263285756111145
combined_6M,trial_43,3.0,128.0,0.0003690273464103189,0.0,32,ReLU,Adam,2.799002170562744,3.7735321521759033,0.8250512480735779
combined_6M,trial_81,3.0,128.0,0.00021870661847934564,0.0,16,ReLU,Adam,2.7020668983459473,3.6141788959503174,0.821495771408081
combined_6M,trial_0,3.0,32.0,0.0003747909931089695,0.0,128,sigmoid,Adam,3.3271560668945312,4.63869047164917,0.7565128803253174
combined_6M,trial_26,3.0,256.0,0.0007652905955694403,1.0,32,ReLU,Adam,2.7647898197174072,3.756826162338257,0.8247551321983337
combined_6M,trial_21,3.0,128.0,0.0002305463287717964,0.0,32,ReLU,Adam,2.7077691555023193,3.738867998123169,0.8264254927635193
combined_6M,trial_10,3.0,128.0,0.000199992722174667,0.0,32,ReLU,Adam,2.72344970703125,3.6981992721557617,0.8315240144729614
