dataset,trial,mae,rmse,r2
MLP_alsfrs-r_T3_T4,trial_33,2.324514389038086,3.0421884059906006,0.869634747505188
MLP_alsfrs-r_T3_T4,trial_51,2.2754228115081787,3.0662262439727783,0.8652675747871399
MLP_alsfrs-r_T3_T4,trial_1,2.280562162399292,3.09035062789917,0.8627969622612
MLP_alsfrs-r_T3_T4,trial_6,2.302342653274536,3.0578324794769287,0.8673280477523804
MLP_alsfrs-r_T3_T4,trial_42,2.2867181301116943,3.073997735977173,0.8647723197937012
MLP_alsfrs-r_T3_T4,trial_45,2.2787914276123047,3.069246530532837,0.8651726841926575
MLP_alsfrs-r_T3_T4,trial_8,2.3957889080047607,3.086453914642334,0.8670963644981384
MLP_alsfrs-r_T3_T4,trial_11,2.336390495300293,3.077440023422241,0.8656671047210693
MLP_alsfrs-r_T3_T4,trial_29,2.4713799953460693,3.1354315280914307,0.8639096021652222
MLP_alsfrs-r_T3_T4,trial_16,2.342775821685791,3.044782876968384,0.8704291582107544
MLP_alsfrs-r_T3_T4,trial_20,2.3495452404022217,3.1730880737304688,0.8551430106163025
MLP_alsfrs-r_T3_T4,trial_18,2.3110482692718506,3.090315580368042,0.8636141419410706
MLP_alsfrs-r_T3_T4,trial_27,2.2841508388519287,3.0595126152038574,0.8661620020866394
MLP_alsfrs-r_T3_T4,trial_44,2.9145395755767822,3.727241277694702,0.7966539263725281
MLP_alsfrs-r_T3_T4,trial_9,2.2830121517181396,3.064256429672241,0.865847110748291
MLP_alsfrs-r_T3_T4,trial_43,2.296290874481201,3.043598175048828,0.8687208890914917
MLP_alsfrs-r_T3_T4,trial_7,2.288052797317505,3.0515944957733154,0.8672341704368591
MLP_alsfrs-r_T3_T4,trial_0,2.2932896614074707,3.05177903175354,0.8672947287559509
MLP_alsfrs-r_T3_T4,trial_19,2.290583372116089,3.093259811401367,0.8625451922416687
MLP_alsfrs-r_T3_T4,trial_26,2.4450488090515137,3.117003917694092,0.8650909066200256
MLP_alsfrs-r_T3_T4,trial_21,2.301934242248535,3.084383249282837,0.864101231098175
MLP_alsfrs-r_T3_T4,trial_28,2.3337111473083496,3.056584119796753,0.8679193258285522
MLP_alsfrs-r_T3_T4,trial_17,2.4358503818511963,3.109172821044922,0.8663209676742554
MLP_alsfrs-r_T3_T4,trial_10,2.3002805709838867,3.0449676513671875,0.8687753677368164
MLP_alsfrs-r_T2_T3,trial_53,2.4602255821228027,3.3063461780548096,0.8134089708328247
MLP_alsfrs-r_T2_T3,trial_36,2.425116539001465,3.353342294692993,0.8102322220802307
MLP_alsfrs-r_T2_T3,trial_31,2.3978447914123535,3.315279245376587,0.8130325675010681
MLP_alsfrs-r_T2_T3,trial_38,2.494173765182495,3.329286813735962,0.809817910194397
MLP_alsfrs-r_T2_T3,trial_52,2.4664177894592285,3.464479684829712,0.7965663075447083
MLP_alsfrs-r_T2_T3,trial_39,2.429091453552246,3.3603897094726562,0.80986088514328
MLP_alsfrs-r_T2_T3,trial_30,2.439995288848877,3.370316982269287,0.8092136979103088
MLP_alsfrs-r_T2_T3,trial_37,2.4067392349243164,3.3676648139953613,0.8080912232398987
MLP_alsfrs-r_T2_T3,trial_15,2.486943244934082,3.3416619300842285,0.8108593821525574
MLP_alsfrs-r_T2_T3,trial_12,2.4316442012786865,3.3729474544525146,0.808239221572876
MLP_alsfrs-r_T2_T3,trial_24,2.5015368461608887,3.363485813140869,0.8091229200363159
MLP_alsfrs-r_T2_T3,trial_23,2.4429616928100586,3.429511308670044,0.8015109300613403
MLP_alsfrs-r_T2_T3,trial_5,2.6264898777008057,3.668121814727783,0.7733903527259827
MLP_alsfrs-r_T2_T3,trial_48,2.443006753921509,3.404536485671997,0.804807186126709
MLP_alsfrs-r_T2_T3,trial_2,2.466428756713867,3.3035974502563477,0.8130050897598267
MLP_alsfrs-r_T2_T3,trial_46,2.4241034984588623,3.3095650672912598,0.8146453499794006
MLP_alsfrs-r_T2_T3,trial_41,2.5491409301757812,3.3497095108032227,0.8085527420043945
MLP_alsfrs-r_T2_T3,trial_22,2.3937137126922607,3.3401308059692383,0.8104199171066284
MLP_alsfrs-r_T2_T3,trial_25,2.4310553073883057,3.2967045307159424,0.8151028752326965
MLP_alsfrs-r_T2_T3,trial_13,2.42362117767334,3.2836782932281494,0.8157602548599243
MLP_alsfrs-r_T2_T3,trial_14,2.4135518074035645,3.379575729370117,0.8065762519836426
MLP_alsfrs-r_T2_T3,trial_40,2.4964396953582764,3.3242554664611816,0.8121106624603271
MLP_alsfrs-r_T2_T3,trial_47,2.599327802658081,3.4010186195373535,0.8003113269805908
MLP_alsfrs-r_T2_T3,trial_3,2.4587631225585938,3.337191343307495,0.8117567896842957
MLP_alsfrs-r_T2_T3,trial_4,2.414848804473877,3.336277723312378,0.8116363286972046
MLP_alsfrs-r_T2_T3,trial_49,2.5977516174316406,3.626516342163086,0.7776345014572144
MLP_alsfrs-r_T2_T3,trial_32,2.8405895233154297,3.551870346069336,0.7795776128768921
MLP_alsfrs-r_T2_T3,trial_35,2.459108591079712,3.3079800605773926,0.8128512501716614
