dataset,trial,n_layer,n_units,learning_rate,decroissant,activation,optimizer,criterion,mae,rmse,r2
MLP_alsfrs-r_no_delta_r2eta2top100_T1_T2,trial_0,2.0,512.0,5e-05,0.0,ReLU,Adam,Huber,3.1419742107391357,4.2679948806762695,0.5597206354141235
MLP_alsfrs-r_lab_no_delta_r2eta2top100_T2-T3_T4,trial_0,3.0,256.0,5e-06,0.0,ReLU,Adam,Huber,3.742119789123535,4.845080375671387,0.7037543058395386
MLP_alsfrs-r_lab_r2eta2top100_T1_T2,trial_0,2.0,512.0,5e-05,0.0,ReLU,Adam,Huber,3.1838839054107666,4.242237567901611,0.5770103335380554
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_31,3.0,512.0,5e-05,0.0,ReLU,Adam,Huber,2.9547061920166016,3.6642391681671143,0.8276473879814148
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_30,3.0,512.0,5e-06,0.0,ReLU,Adam,Huber,2.9324710369110107,3.697479248046875,0.8208592534065247
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_15,2.0,256.0,5e-06,1.0,ReLU,Adam,Huber,4.3385515213012695,5.531442642211914,0.584303617477417
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_12,2.0,256.0,5e-06,0.0,ReLU,Adam,Huber,3.8483195304870605,4.820466041564941,0.6887086629867554
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_24,3.0,256.0,5e-06,0.0,ReLU,Adam,Huber,3.3067898750305176,4.179897785186768,0.7695308923721313
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_23,2.0,512.0,0.0005,1.0,ReLU,Adam,Huber,3.1008784770965576,3.8948633670806885,0.8051679730415344
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_5,1.0,256.0,0.0005,1.0,ReLU,Adam,Huber,3.0739471912384033,3.800051212310791,0.8161565661430359
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_2,1.0,256.0,0.0005,0.0,ReLU,Adam,Huber,2.9602248668670654,3.7828357219696045,0.8153843879699707
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_22,2.0,512.0,5e-05,1.0,ReLU,Adam,Huber,2.842510938644409,3.6013829708099365,0.8340903520584106
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_25,3.0,256.0,5e-05,0.0,ReLU,Adam,Huber,2.8943538665771484,3.6455070972442627,0.8303866386413574
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_13,2.0,256.0,5e-05,0.0,ReLU,Adam,Huber,2.919896125793457,3.6150062084198,0.8313496112823486
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_14,2.0,256.0,0.0005,0.0,ReLU,Adam,Huber,2.8936896324157715,3.6855781078338623,0.823772132396698
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_3,1.0,256.0,5e-06,1.0,ReLU,Adam,Huber,8.664192199707031,10.461758613586426,-0.4410356283187866
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_4,1.0,256.0,5e-05,1.0,ReLU,Adam,Huber,3.250434398651123,4.145664215087891,0.7719436883926392
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_32,3.0,512.0,0.0005,0.0,ReLU,Adam,Huber,2.969372510910034,3.740892171859741,0.8159177303314209
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_35,3.0,512.0,0.0005,1.0,ReLU,Adam,Huber,2.931983232498169,3.6594491004943848,0.8231806755065918
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_34,3.0,512.0,5e-05,1.0,ReLU,Adam,Huber,2.8207645416259766,3.5455081462860107,0.8367739319801331
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_33,3.0,512.0,5e-06,1.0,ReLU,Adam,Huber,3.235652208328247,4.010361671447754,0.7908850312232971
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_1,1.0,256.0,5e-05,0.0,ReLU,Adam,Huber,3.2123053073883057,4.122323036193848,0.7745010852813721
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_6,1.0,512.0,5e-06,0.0,ReLU,Adam,Huber,6.148431777954102,7.815366268157959,0.17959725856781006
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_8,1.0,512.0,0.0005,0.0,ReLU,Adam,Huber,2.9366657733917236,3.7044785022735596,0.8244350552558899
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_11,1.0,512.0,0.0005,1.0,ReLU,Adam,Huber,2.9504871368408203,3.776979446411133,0.816156804561615
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_29,3.0,256.0,0.0005,1.0,ReLU,Adam,Huber,2.9571800231933594,3.7464723587036133,0.8147786855697632
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_16,2.0,256.0,5e-05,1.0,ReLU,Adam,Huber,3.0006349086761475,3.7847061157226562,0.8123626708984375
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_20,2.0,512.0,0.0005,0.0,ReLU,Adam,Huber,3.0136125087738037,3.752781867980957,0.8151291012763977
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_18,2.0,512.0,5e-06,0.0,ReLU,Adam,Huber,3.2902579307556152,4.099057674407959,0.7796744704246521
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_27,3.0,256.0,5e-06,1.0,ReLU,Adam,Huber,3.905341625213623,4.956534385681152,0.6724370718002319
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_9,1.0,512.0,5e-06,1.0,ReLU,Adam,Huber,6.032193183898926,7.673116683959961,0.20663529634475708
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_7,1.0,512.0,5e-05,0.0,ReLU,Adam,Huber,3.0140933990478516,3.832700729370117,0.8079270720481873
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_0,1.0,256.0,5e-06,0.0,ReLU,Adam,Huber,8.543663024902344,10.354177474975586,-0.4211035370826721
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_0,3.0,256.0,5e-05,1.0,ReLU,Adam,Huber,2.9356582164764404,3.6481246948242188,0.8266561627388
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_19,2.0,512.0,5e-05,0.0,ReLU,Adam,Huber,2.8399436473846436,3.5507659912109375,0.8389551043510437
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_26,3.0,256.0,0.0005,0.0,ReLU,Adam,Huber,3.3545491695404053,4.070842742919922,0.7830580472946167
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_21,2.0,512.0,5e-06,1.0,ReLU,Adam,Huber,3.5329365730285645,4.414559841156006,0.7392948865890503
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_28,3.0,256.0,5e-05,1.0,ReLU,Adam,Huber,2.851794958114624,3.580683708190918,0.8358649611473083
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_17,2.0,256.0,0.0005,1.0,ReLU,Adam,Huber,2.835477828979492,3.5559515953063965,0.8288388252258301
MLP_alsfrs-r_lab_no_delta_thresh80_T4_T5,trial_10,1.0,512.0,5e-05,1.0,ReLU,Adam,Huber,3.0837509632110596,3.914442300796509,0.79897540807724
MLP_alsfrs-r_control_T3_T4,trial_0,1.0,512.0,5e-06,1.0,ReLU,Adam,Huber,6.922126293182373,8.916488647460938,-0.2907995283603668
MLP_alsfrs-r_no_delta_r2eta2top100_T1-T2-T3-T4_T5,trial_0,1.0,256.0,0.0005,0.0,ReLU,Adam,Huber,3.702481269836426,4.697258949279785,0.7024293541908264
MLP_alsfrs-r_lab_no_delta_r2eta2top100_T1-T2_T3,trial_0,3.0,256.0,0.0001,1.0,ReLU,Adam,Huber,3.343623161315918,4.2019124031066895,0.6842997074127197
MLP_alsfrs-r_no_delta_thresh80_T2-T3_T4,trial_0,3.0,256.0,5e-06,0.0,ReLU,Adam,Huber,3.338346004486084,4.3065972328186035,0.7290002107620239
MLP_alsfrs-r_lab_no_delta_thresh80_T1-T2_T3,trial_0,3.0,256.0,0.0001,1.0,ReLU,Adam,Huber,3.3595709800720215,4.31151008605957,0.6737081408500671
MLP_alsfrs-r_lab_no_delta_r2eta2top100_T2_T3,trial_0,1.0,256.0,0.0005,0.0,ReLU,Adam,Huber,3.7526779174804688,4.732942581176758,0.5861107110977173
MLP_alsfrs-r_lab_thresh80_T4_T5,trial_0,3.0,256.0,5e-05,1.0,ReLU,Adam,Huber,3.104503870010376,3.9070072174072266,0.7979556918144226
MLP_alsfrs-r_no_delta_thresh80_T1-T2-T3-T4_T5,trial_0,1.0,256.0,0.0005,0.0,ReLU,Adam,Huber,3.679919719696045,4.637618064880371,0.7162915468215942
MLP_alsfrs-r_no_delta_r2eta2top100_T3-T4_T5,trial_0,2.0,512.0,5e-05,1.0,ReLU,Adam,Huber,3.34544038772583,4.335212707519531,0.766254186630249
MLP_alsfrs-r_control_T3-T4_T5,trial_0,2.0,512.0,5e-05,1.0,ReLU,Adam,Huber,3.438558578491211,4.405891418457031,0.765428900718689
MLP_alsfrs-r_control_T1-T2-T3_T4,trial_0,3.0,512.0,5e-06,0.0,ReLU,Adam,Huber,3.415959358215332,4.385444164276123,0.664737343788147
MLP_alsfrs-r_control_T2-T3-T4_T5,trial_0,2.0,512.0,0.0005,1.0,ReLU,Adam,Huber,3.796976327896118,4.7400407791137695,0.6844598650932312
MLP_alsfrs-r_lab_r2eta2top100_T1-T2_T3,trial_0,3.0,256.0,0.0001,1.0,ReLU,Adam,Huber,3.606947183609009,4.661390781402588,0.5965909957885742
MLP_alsfrs-r_lab_no_delta_r2eta2top100_T3_T4,trial_0,1.0,512.0,5e-06,1.0,ReLU,Adam,Huber,7.175952911376953,9.190821647644043,-0.3761711120605469
MLP_alsfrs-r_lab_r2eta2top100_T2-T3-T4_T5,trial_0,2.0,512.0,0.0005,1.0,ReLU,Adam,Huber,3.8496968746185303,4.83543586730957,0.7298895120620728
MLP_alsfrs-r_lab_r2eta2top100_T1-T2-T3_T4,trial_0,3.0,512.0,5e-06,0.0,ReLU,Adam,Huber,3.0377533435821533,3.8307576179504395,0.7732763290405273
MLP_alsfrs-r_lab_no_delta_r2eta2top100_T2-T3-T4_T5,trial_0,2.0,512.0,0.0005,1.0,ReLU,Adam,Huber,3.5161755084991455,4.51674747467041,0.7211148142814636
MLP_alsfrs-r_lab_no_delta_r2eta2top100_T1-T2-T3_T4,trial_0,3.0,512.0,5e-06,0.0,ReLU,Adam,Huber,3.272197961807251,4.151942729949951,0.6939602494239807
MLP_alsfrs-r_lab_thresh80_T1_T2,trial_0,2.0,512.0,5e-05,0.0,ReLU,Adam,Huber,3.3521783351898193,4.339169502258301,0.5436065196990967
MLP_alsfrs-r_lab_thresh80_T3-T4_T5,trial_0,2.0,512.0,5e-05,1.0,ReLU,Adam,Huber,3.321357488632202,4.366179466247559,0.7651438117027283
