Run;n_layer;n_units;learning_rate;activation;criterion;decroissant;optimizer;Smoothed;Value;Step
T2-T3-T4_T5/trial_10;5;32;0,0001;ReLU;Huber;1;RMSprop;28,1152;28,1152;15 400
T2-T3-T4_T5/trial_11;2;64;0,0084;ReLU;MAE;1;Adagrad;3,4762;3,4762;270
T2-T3-T4_T5/trial_12;2;64;0;ReLU;Huber;1;Adagrad;24,2108;24,2108;2 000
T2-T3-T4_T5/trial_13;4;64;0,0025;ReLU;Huber;1;Adagrad;3,3055;3,3055;620
T2-T3-T4_T5/trial_14;4;64;0,0028;ReLU;MAE;1;Adagrad;3,3365;3,3365;480
T2-T3-T4_T5/trial_15;4;64;0,0021;ReLU;MAE;1;Adagrad;3,453;3,453;320
T2-T3-T4_T5/trial_16;4;64;0,0035;ReLU;Huber;1;RMSprop;3,9465;3,9465;200
T2-T3-T4_T5/trial_17;4;64;0,0009;ReLU;MAE;1;Adagrad;3,3325;3,3325;6 314
T2-T3-T4_T5/trial_18;5;1 024;0,0038;ReLU;Huber;1;Adagrad;4,4512;4,4512;585
T2-T3-T4_T5/trial_19;4;64;0,0002;ReLU;MSE;1;RMSprop;3,2092;3,2092;680
T2-T3-T4_T5/trial_2;1;128;0,0003;sigmoid;MAE;0;Adagrad;23,7221;23,7221;4 000
T2-T3-T4_T5/trial_20;5;64;0,0043;ReLU;Huber;1;Adagrad;29,7236;29,7236;2 000
T2-T3-T4_T5/trial_21;4;64;0,0014;ReLU;Huber;1;RMSprop;3,655;3,655;170
T2-T3-T4_T5/trial_22;4;64;0,0013;ReLU;Huber;1;RMSprop;3,9421;3,9421;220
T2-T3-T4_T5/trial_23;4;64;0,0011;ReLU;Huber;1;RMSprop;3,8744;3,8744;170
T2-T3-T4_T5/trial_24;3;64;0,0029;ReLU;Huber;1;RMSprop;6,077;6,077;120
T2-T3-T4_T5/trial_25;5;64;0,0005;ReLU;MAE;1;RMSprop;3,3896;3,3896;550
T2-T3-T4_T5/trial_26;4;512;0,0016;ReLU;Huber;1;Adagrad;3,1917;3,1917;819
T2-T3-T4_T5/trial_27;4;512;0,0002;ReLU;Huber;1;Adagrad;3,3049;3,3049;1 950
T2-T3-T4_T5/trial_28;3;512;0,0002;sigmoid;Huber;1;Adagrad;23,6236;23,6236;7 800
T2-T3-T4_T5/trial_29;5;512;0,0001;tanh;Huber;1;Adagrad;26,8689;26,8689;7 800
T2-T3-T4_T5/trial_3;2;256;0,0067;sigmoid;MSE;0;Adagrad;4,8906;4,8906;975
T2-T3-T4_T5/trial_30;3;512;0,0001;tanh;Huber;1;Adagrad;23,0058;23,0058;7 800
T2-T3-T4_T5/trial_31;4;512;0,0014;ReLU;Huber;1;Adagrad;4,0088;4,0088;507
T2-T3-T4_T5/trial_32;4;512;0,0005;ReLU;Huber;1;Adam;3,3078;3,3078;320
T2-T3-T4_T5/trial_33;5;512;0,0005;ReLU;Huber;1;Adam;3,2294;3,2294;380
T2-T3-T4_T5/trial_34;5;512;0,0003;sigmoid;MSE;1;Adam;10,2187;10,2187;4 000
T2-T3-T4_T5/trial_35;5;1 024;0,0003;ReLU;Huber;1;Adam;3,609;3,609;260
T2-T3-T4_T5/trial_36;5;128;0,0009;sigmoid;Huber;1;Adam;9,7178;9,7178;4 000
T2-T3-T4_T5/trial_37;5;512;0;ReLU;MSE;0;Adam;3,0962;3,0962;1 365
T2-T3-T4_T5/trial_38;4;256;0,0048;sigmoid;Huber;1;Adagrad;15,6785;15,6785;4 000
T2-T3-T4_T5/trial_39;1;512;0,0019;tanh;Huber;0;Adam;4,9385;4,9385;585
T2-T3-T4_T5/trial_4;3;256;0,0017;sigmoid;MSE;0;RMSprop;9,64;9,64;110
T2-T3-T4_T5/trial_40;3;128;0,0005;ReLU;MSE;1;Adagrad;3,2554;3,2554;2 730
T2-T3-T4_T5/trial_41;4;512;0,0006;ReLU;Huber;1;Adam;3,1817;3,1817;340
