dataset,trial,n_layer,n_units,learning_rate,decroissant,activation,optimizer,criterion,mae,rmse,r2
MLP_alsfrs-r_T1_T2,trial_9,3.0,512.0,0.05,0.0,ReLU,Adam,Huber,5.975912094116211,7.382763862609863,-0.06409361213445663
MLP_alsfrs-r_T1_T2,trial_7,3.0,512.0,0.005,0.0,ReLU,Adam,Huber,2.4075708389282227,3.252880573272705,0.7809408903121948
MLP_alsfrs-r_T1_T2,trial_0,3.0,512.0,1e-06,0.0,ReLU,Adam,Huber,2.424245834350586,3.376100778579712,0.7632358074188232
MLP_alsfrs-r_T1-T2-T3-T4_T5,trial_5,2.0,512.0,0.0005,0.0,ReLU,Adam,Huber,2.4755945205688477,3.0789830684661865,0.8733517527580261
MLP_alsfrs-r_T1-T2-T3-T4_T5,trial_2,2.0,512.0,1e-05,0.0,ReLU,Adam,Huber,2.417442798614502,3.195557117462158,0.8616301417350769
MLP_alsfrs-r_T1-T2-T3-T4_T5,trial_3,2.0,512.0,5e-05,0.0,ReLU,Adam,Huber,2.3327102661132812,3.026684522628784,0.8740001916885376
MLP_alsfrs-r_T1-T2-T3-T4_T5,trial_4,2.0,512.0,0.0001,0.0,ReLU,Adam,Huber,2.8004672527313232,3.3504233360290527,0.8535099625587463
MLP_alsfrs-r_T1-T2-T3-T4_T5,trial_1,2.0,512.0,5e-06,0.0,ReLU,Adam,Huber,2.383805990219116,3.083975315093994,0.8710864186286926
MLP_alsfrs-r_T1-T2-T3-T4_T5,trial_6,2.0,512.0,0.001,0.0,ReLU,Adam,Huber,2.5382213592529297,3.28493332862854,0.8500574231147766
MLP_alsfrs-r_T1-T2-T3-T4_T5,trial_8,2.0,512.0,0.01,0.0,ReLU,Adam,Huber,2.49147367477417,3.2524802684783936,0.8525974750518799
MLP_alsfrs-r_T1-T2-T3-T4_T5,trial_9,2.0,512.0,0.05,0.0,ReLU,Adam,Huber,8.109306335449219,9.717100143432617,-0.13579431176185608
MLP_alsfrs-r_T1-T2-T3-T4_T5,trial_7,2.0,512.0,0.005,0.0,ReLU,Adam,Huber,2.4209177494049072,3.0724856853485107,0.8734248280525208
MLP_alsfrs-r_T1-T2-T3-T4_T5,trial_0,2.0,512.0,1e-06,0.0,ReLU,Adam,Huber,2.4492576122283936,3.1981847286224365,0.8632526993751526
MLP_alsfrs-r_T4_T5,trial_5,1.0,128.0,0.0005,1.0,ReLU,Adam,Huber,2.5422072410583496,3.4678924083709717,0.8494450449943542
MLP_alsfrs-r_T4_T5,trial_2,1.0,128.0,1e-05,1.0,ReLU,Adam,Huber,2.5288896560668945,3.414933681488037,0.8539297580718994
MLP_alsfrs-r_T4_T5,trial_3,1.0,128.0,5e-05,1.0,ReLU,Adam,Huber,2.522526741027832,3.4387917518615723,0.8519363403320312
MLP_alsfrs-r_T4_T5,trial_4,1.0,128.0,0.0001,1.0,ReLU,Adam,Huber,2.5420515537261963,3.3798208236694336,0.8564344048500061
MLP_alsfrs-r_T4_T5,trial_1,1.0,128.0,5e-06,1.0,ReLU,Adam,Huber,2.5542516708374023,3.4547390937805176,0.8505683541297913
MLP_alsfrs-r_T4_T5,trial_6,1.0,128.0,0.001,1.0,ReLU,Adam,Huber,2.5328516960144043,3.3879005908966064,0.8557679057121277
MLP_alsfrs-r_T4_T5,trial_8,1.0,128.0,0.01,1.0,ReLU,Adam,Huber,2.5799596309661865,3.46747088432312,0.8487746715545654
MLP_alsfrs-r_T4_T5,trial_9,1.0,128.0,0.05,1.0,ReLU,Adam,Huber,2.9600770473480225,3.623699188232422,0.8305715918540955
MLP_alsfrs-r_T4_T5,trial_7,1.0,128.0,0.005,1.0,ReLU,Adam,Huber,2.5907678604125977,3.385251760482788,0.8555563688278198
MLP_alsfrs-r_T4_T5,trial_0,1.0,128.0,1e-06,1.0,ReLU,Adam,Huber,3.0919270515441895,3.9320943355560303,0.8055779337882996
